nu_ano,ds_etapa,cod_ies,ies,uf_ies,campus,uf_campus,municipio_campus,nome_curso,grau,turno,tp_modalidade,nu_peso_l,nu_peso_ch,nu_peso_cn,nu_peso_m,nu_peso_r,nota_minima_l,nota_minima_ch,nota_minima_cn,nota_minima_m,nota_minima_r,media_minima,co_inscricao_enem,tp_sexo,dt_nascimento,uf_origem,municipio_candidato,st_opcao,nota_concorrencia,nu_notacorte,st_aprovado,st_matricula,idade
2010,1ª CHAMADA,595,UNIVERSIDADE FEDERAL DE ALFENAS,MG,"Alfenas-MG, RUA GABRIEL MONTEIRO DA SILVA, CENTRO",MG,Alfenas,Ciência da Computação,Bacharelado,Integral,Ampla concorrência,2.0,1.0,2.0,3.0,3.0,20.0,20.0,20.0,30.0,30.0,888.48,200XXXXXX918,M,1992,SP,FRANCA,1,758.75,715.66,S,S,18
2010,1ª CHAMADA,1811,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",GO,"Inhumas-GO, Avenida Universitária, Setor Vale das Goiabeiras",GO,Inhumas,Informática,Bacharelado,Noturno,Escola pública,4.0,1.0,2.0,4.0,1.0,0.01,0.01,0.01,0.01,30.0,897.36,200XXXXXX128,M,1984,GO,GOIANIA,1,723.26,645.11,S,S,26
2010,1ª CHAMADA,588,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,PR,"Pato Branco-PR, VIA DO CONHECIMENTO, FRARON",PR,Pato Branco,Engenharia da Computação,Bacharelado,Integral,Ampla concorrência,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,838.52,200XXXXXX663,M,1988,ES,VILA VELHA,1,704.22,699.04,S,S,22
2010,1ª CHAMADA,5,UNIVERSIDADE FEDERAL DO PIAUÍ,PI,"Teresina-PI, Campus Universitário Ministro Petrônio Portela, Ininga",PI,Teresina,Ciência da Computação,Bacharelado,Integral,Ampla concorrência,5.0,2.0,4.0,5.0,3.0,20.0,0.01,0.01,20.0,0.01,900.3,200XXXXXX854,M,1989,PI,TERESINA,1,761.61,689.41,S,S,21
2010,1ª CHAMADA,1166,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA",PB,"Cajazeiras-PB, Rua José Antonio da Silva, Jardim Oásis",PB,Cajazeiras,Análise e Desenvolvimento de Sistemas,Tecnológico,Integral,Ampla concorrência,2.0,1.0,2.0,2.0,2.0,0.01,0.01,0.01,0.01,0.01,777.4,200XXXXXX552,F,1990,PB,SOUSA,1,667.7,633.92,S,S,20
2010,1ª CHAMADA,1166,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA",PB,"Cajazeiras-PB, Rua José Antonio da Silva, Jardim Oásis",PB,Cajazeiras,Análise e Desenvolvimento de Sistemas,Tecnológico,Integral,Ampla concorrência,2.0,1.0,2.0,2.0,2.0,0.01,0.01,0.01,0.01,0.01,735.74,200XXXXXX230,M,1991,PB,SOUSA,1,634.98,633.92,S,S,19
2010,1ª CHAMADA,574,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,RJ,"Nova Iguaçu-RJ, Rua Professor Paris, Centro",RJ,Nova Iguaçu,Ciência da Computação,Bacharelado,Vespertino,Integralmente em escola pública,1.0,1.0,1.0,1.0,2.0,0.01,0.01,0.01,0.01,0.01,874.36,200XXXXXX756,M,1990,RJ,RIO DE JANEIRO,1,718.8,761.45,S,S,20
2010,1ª CHAMADA,588,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,PR,"Cornélio Procópio-PR, Avenida Alberto Carazzai, Centro",PR,Cornélio Procópio,Engenharia da Computação,Bacharelado,Integral,Escola pública,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,831.64,200XXXXXX306,M,1991,MT,CAMPO VERDE,1,694.52,681.3,S,S,19
2010,1ª CHAMADA,587,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,PE,"Recife-PE, Rua Dom Manoel de Medeiros, Dois Irmãos",PE,Recife,Ciência da Computação,Bacharelado,Vespertino,Ampla concorrência,3.0,1.5,1.5,4.0,2.0,15.0,15.0,15.0,15.0,20.0,895.62,200XXXXXX692,M,1992,PE,OLINDA,1,756.12,753.33,S,S,18
2010,1ª CHAMADA,548,UNIVERSIDADE FEDERAL DO MARANHÃO,MA,"São Luís-MA, AV. DOS PORTUGUÊSES, BANCANGA",MA,São Luís,Ciência da Computação,Bacharelado,Vespertino,Ampla concorrência,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,874.32,200XXXXXX913,F,1992,PI,CAXIAS,1,729.56,707.36,S,S,18
